component_id,name,kind,project,backend,lifecycle_state,executable_now,executable_via_public_source,fetchable,mapped_public_sources,category,blocking_reason,license_spdx
origenemcp.tool.get_similar_entities_by_drug_name,get_similar_entities_by_drug_name,tool,OrigeneMCP,mcp,RESOLVED,False,True,False,ncbi_eutils;openfda;opentargets,ROUTABLE - equivalent live public source available,dependencies satisfied,NONE
origenemcp.tool.get_similar_entities_by_target_ensemblid,get_similar_entities_by_target_ensemblID,tool,OrigeneMCP,mcp,RESOLVED,False,True,False,ensembl;ncbi_eutils;opentargets,ROUTABLE - equivalent live public source available,dependencies satisfied,NONE
origenemcp.tool.get_similar_entities_by_target_name,get_similar_entities_by_target_name,tool,OrigeneMCP,mcp,RESOLVED,False,True,False,ncbi_eutils;openfda;opentargets,ROUTABLE - equivalent live public source available,dependencies satisfied,NONE
origenemcp.tool.get_target_interactions_by_ensemblid,get_target_interactions_by_ensemblID,tool,OrigeneMCP,mcp,RESOLVED,False,True,False,ensembl;opentargets,ROUTABLE - equivalent live public source available,dependencies satisfied,NONE
origenemcp.tool.get_target_safety_profile_by_ensemblid,get_target_safety_profile_by_ensemblID,tool,OrigeneMCP,mcp,RESOLVED,False,True,False,ensembl;opentargets,ROUTABLE - equivalent live public source available,dependencies satisfied,NONE
origenemcp.tool.get_variation_pmcid,get_variation_pmcid,tool,OrigeneMCP,mcp,RESOLVED,False,True,False,ensembl;ncbi_eutils,ROUTABLE - equivalent live public source available,dependencies satisfied,NONE
origenemcp.tool.get_variation_pmid,get_variation_pmid,tool,OrigeneMCP,mcp,RESOLVED,False,True,False,ensembl;ncbi_eutils,ROUTABLE - equivalent live public source available,dependencies satisfied,NONE
origenemcp.tool.pdb_get_pubmed_annotations,pdb_get_pubmed_annotations,tool,OrigeneMCP,mcp,RESOLVED,False,True,False,ncbi_eutils;rcsb,ROUTABLE - equivalent live public source available,dependencies satisfied,NONE
origenemcp.tool.pdb_get_structure,pdb_get_structure,tool,OrigeneMCP,mcp,RESOLVED,False,True,False,rcsb,ROUTABLE - equivalent live public source available,dependencies satisfied,NONE
biomni.tool.query_pubmed,query_pubmed,tool,Biomni,python,UNAVAILABLE,False,True,False,ncbi_eutils,ROUTABLE - equivalent live public source available,import failed: ModuleNotFoundError: No module named 'biomni',Apache-2.0
stella.tool.test_biomedical_literature_analyzer,test_biomedical_literature_analyzer,tool,STELLA,python,UNAVAILABLE,False,False,False,,MISSING_DEPS - third-party imports absent,"missing python modules: smolagents, tools",Apache-2.0
biomni.tool.analyze_cell_senescence_and_apoptosis,analyze_cell_senescence_and_apoptosis,tool,Biomni,python,UNAVAILABLE,False,False,False,,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',Apache-2.0
biomni.tool.analyze_copy_number_purity_ploidy_and_focal_events,analyze_copy_number_purity_ploidy_and_focal_events,tool,Biomni,python,UNAVAILABLE,False,False,False,,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',Apache-2.0
biomni.tool.analyze_ddr_network_in_cancer,analyze_ddr_network_in_cancer,tool,Biomni,python,UNAVAILABLE,False,False,False,,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',Apache-2.0
biomni.tool.compare_protein_structures,compare_protein_structures,tool,Biomni,python,UNAVAILABLE,False,False,False,,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',Apache-2.0
biomni.tool.detect_and_annotate_somatic_mutations,detect_and_annotate_somatic_mutations,tool,Biomni,python,UNAVAILABLE,False,True,False,clinicaltrials,ROUTABLE - equivalent live public source available,import failed: ModuleNotFoundError: No module named 'biomni',Apache-2.0
biomni.tool.detect_and_characterize_structural_variations,detect_and_characterize_structural_variations,tool,Biomni,python,UNAVAILABLE,False,True,False,ncbi_eutils,ROUTABLE - equivalent live public source available,import failed: ModuleNotFoundError: No module named 'biomni',Apache-2.0
biomni.tool.model_protein_dimerization_network,model_protein_dimerization_network,tool,Biomni,python,UNAVAILABLE,False,False,False,,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',Apache-2.0
biomni.tool.perform_flux_balance_analysis,perform_flux_balance_analysis,tool,Biomni,python,UNAVAILABLE,False,False,False,,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',Apache-2.0
biomni.tool.perform_gene_expression_nmf_analysis,perform_gene_expression_nmf_analysis,tool,Biomni,python,UNAVAILABLE,False,False,False,,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',Apache-2.0
biomni.tool.query_chatnt,query_chatnt,tool,Biomni,python,UNAVAILABLE,False,False,False,,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',Apache-2.0
biomni.tool.simulate_metabolic_network_perturbation,simulate_metabolic_network_perturbation,tool,Biomni,python,UNAVAILABLE,False,False,False,,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',Apache-2.0
biomni.tool.simulate_protein_signaling_network,simulate_protein_signaling_network,tool,Biomni,python,UNAVAILABLE,False,False,False,,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',Apache-2.0
biomni.tool.simulate_renin_angiotensin_system_dynamics,simulate_renin_angiotensin_system_dynamics,tool,Biomni,python,UNAVAILABLE,False,False,False,,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',Apache-2.0
biomni.tool.analyze_atac_seq_differential_accessibility,analyze_atac_seq_differential_accessibility,tool,Biomni,python,UNAVAILABLE,False,False,False,,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',Apache-2.0
biomni.tool.analyze_bacterial_growth_curve,analyze_bacterial_growth_curve,tool,Biomni,python,UNAVAILABLE,False,False,False,,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',Apache-2.0
biomni.tool.analyze_cell_morphology_and_cytoskeleton,analyze_cell_morphology_and_cytoskeleton,tool,Biomni,python,UNAVAILABLE,False,False,False,,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',Apache-2.0
biomni.tool.analyze_cfse_cell_proliferation,analyze_cfse_cell_proliferation,tool,Biomni,python,UNAVAILABLE,False,False,False,,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',Apache-2.0
biomni.tool.analyze_cns_lesion_histology,analyze_cns_lesion_histology,tool,Biomni,python,UNAVAILABLE,False,False,False,,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',Apache-2.0
